"id","鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積.平方公尺.","車位總價元","備註","編號","主建物面積","附屬建物面積","陽台面積","電梯","移轉編號","X","X.1","X.2","X.3","X.4","Response_X","Response_Y","Count"
1962,"中區","房地(土地+建物)","公園路31~60號",4.1,"都市：其他:第二種商業區","","",1090925,"土地2建物1車位0","七層","十一層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",701231,31.41,1,1,1,"有","有",1900000,60490,"",0,0,"含仲介費","含地政士服務費","","RPTPMLNLIIPFFAB08DA","20.89","0","0","有","1841","","","",217379.351,2671309.419,5
1963,"西屯區","房地(土地+建物)+車位","黎明路三段151~180號",29.65,"都市：其他:第二種住宅區","","",1090920,"土地2建物1車位2","五層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1021016,282.54,3,2,2,"有","有",24060000,93633,"坡道平面",57.62,3e+06,"","RPOPMLKLRHPFFCB28DA","131.98","22.58","0","有","","","","","","",215068.758,2676777.382,2
1964,"西屯區","房地(土地+建物)+車位","永昌街1~30號",13.31,"都市：其他:第二種住宅區","","",1090921,"土地1建物1車位1","四層","六層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",831029,70.48,2,1,1,"有","有",4380000,62145,"坡道平面",0,0,"","RPWNMLOLRHPFFCB66DA","37.14","10.36","0","有","","","","","","",215277.394,2673843.884,8
1965,"南屯區","房地(土地+建物)","惠中路三段361~390號",24.16,"都市：其他:第二種住宅區","","",1090916,"土地1建物1車位0","十二層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",960601,130.96,3,2,1,"有","無",13280000,101405,"",0,0,"","RPVPMLRJIIPFFCB68DA","62.23","9.9","0","無","1847","","","","","",213522.158,2670769.35,5
1966,"北屯區","房地(土地+建物)","平德路82巷1~30號",86,"都市：其他:第二種住宅區","","",1091013,"土地3建物1車位0","全","二層","透天厝","住家用","加強磚造",760611,124.87,4,2,2,"有","無",3500000,28029,"",0,0,"親友、員工、共有人或其他特殊關係間之交易","","RPOQOLSLIIPFFBB48DA","98.92","25.95","0","無","","","","","",216684.739,2675442.355,5
1967,"西屯區","房地(土地+建物)","西屯路二段惠安巷162弄1~30號",131,"都市：其他:第三之二種住宅區","","",1090923,"土地2建物1車位0","全","二層","透天厝","住家用","見其他登記事項",620531,97.33,15,0,15,"有","無",23100000,237337,"",0,0,"含租約","","RPUNMLTJIIPFFCB58DA","97.33","0","0","無","1848","","","","",214249.519,2673758.145,6
1968,"西屯區","房地(土地+建物)","天水西六街1~30號",18.23,"都市：其他:第二種住宅區","","",1090928,"土地1建物1車位0","五層","五層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",750117,93.51,3,2,2,"有","有",4000000,42776,"",0,0,"","RPUPMLNKIIPFFCB28DA","78.92","7.86","0","有","1850","","","","","",215155.16,2673475.225,7
1969,"南屯區","房地(土地+建物)+車位","公益路二段481~510號",7.02,"都市：其他:第三種住宅區。","","",1090925,"土地1建物1車位1","八層","十四層","住宅大樓(11層含以上有電梯)","住家用","見其他登記事項",940117,92.94,2,1,1,"有","有",7000000,75317,"坡道平面",26.42,0,"","RPRNNLTKIIPFFCB48DA","35.92","13.28","0","有","","","","","","",211862.312,2671899.748,2
1970,"西屯區","房地(土地+建物)+車位","大墩十九街211~240號",15.27,"都市：其他:第二種住宅區","","",1090925,"土地2建物1車位1","十層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",830216,161.34,3,2,2,"有","有",11150000,69109,"坡道機械",0,0,"","RPWQMLTKIIPFFCB56DA","86.96","20.12","0","有","","","","","","",214387.407,2672726.858,5
1971,"南屯區","房地(土地+建物)+車位","大墩路151~180號",14.79,"都市：其他:第三種住宅區。","","",1090912,"土地1建物1車位1","七層","二十層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",880624,215.61,4,2,2,"有","有",15800000,73280,"坡道平面",23.63,0,"陽台外推","","RPUNMLMLIIPFFCB08DA","113.24","22.74","0","有","","","","","",214536.158,2672477.484,4
