"鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積.平方公尺.","車位總價元","備註","編號","主建物面積","附屬建物面積","陽台面積","電梯"
"北屯區","房地(土地+建物)","臺中市北屯區昌平路二段國泰巷40弄1~30號",66,"住","","",1090218,"土地1建物1車位0","全","二層","透天厝","住家用","鋼筋混凝土加強磚造",620520,81.48,4,2,1,"有","無",7470000,91679,"",0,0,"","RPRQMLPLNHPFFBB58CA",81.48,0,0,""
"北區","房地(土地+建物)","臺中市北區梅川東路三段62巷31~60號",36.94,"住","","",1090326,"土地2建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",690124,101.29,6,2,4,"有","無",4200000,41465,"",0,0,"含增建或未登記建物。;","RPUNMLMLNHPFFBB28CA",101.29,0,0,""
"北區","房地(土地+建物)","臺中市北區進化北路264巷8弄1~30號",93,"住","","",1090405,"土地1建物1車位0","全","三層","透天厝","住家用","鋼筋混凝土造",701006,226.27,5,4,3,"有","無",11760000,51973,"",0,0,"","RPUOMLMLNHPFFBB38CA",209.02,17.25,0,""
"北屯區","房地(土地+建物)","臺中市北屯區水湳路151~180號",24.14,"住","","",1090221,"土地1建物1車位0","二層","六層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",810702,109.01,3,2,2,"有","有",4e+06,36694,"",0,0,"本買賣案件係屬二親等間特殊交易，其交易價格可能異於市場正常交易價格。","RPQQMLRLNHPFFBB68CA",84.11,12,0,""
"北屯區","房地(土地+建物)","臺中市北屯區松竹路二段337巷1~30號",13.25,"住","","",1090412,"土地1建物1車位0","五層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",821214,109.3,3,2,2,"有","有",6010000,54986,"",0,0,"","RPPQMLLLNHPFFBB97CA",86.21,10.73,0,""
"北區","房地(土地+建物)","臺中市北區英才路211~240號",7.93,"住","","",1090421,"土地1建物1車位0","八層","八層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",830907,51.2,1,1,1,"有","有",2710000,52930,"",0,0,"","RPRPMLPKNHPFFBB38CA",25.25,3.28,0,""
"北屯區","房地(土地+建物)","臺中市北屯區松義街181~210號",16.42,"住","","",1090405,"土地1建物1車位0","三層","十一層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",820212,90.71,3,2,1,"有","有",4320000,47624,"",0,0,"","RPSOMLOKNHPFFBB28CA",71.63,9.09,0,""
"中區","房地(土地+建物)","臺中市中區臺灣大道一段241~270號",5.56,"商","","",1090424,"土地1建物1車位0","六層","七層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",741021,41.91,1,0,1,"有","有",2400000,57266,"",0,0,"","RPRPMLPLNHPFFAB38CA",30.04,7.49,0,""
"西區","房地(土地+建物)","臺中市西區中美街391~420號",22.5,"住","","",1090427,"土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","見其他登記事項",630411,78.08,3,1,1,"有","無",3617000,46324,"",0,0,"","RPWNMLKLNHPFFAB18CA",78.08,0,0,""
"南區","房地(土地+建物)","臺中市南區仁義街61~90號",3.1,"其他","","",1090418,"土地1建物1車位0","十一層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",840107,28.69,1,0,1,"有","有",1190000,41478,"",0,0,"","RPRNMLSKNHPFFAB38CA",19.6,3.1,0,""
"南區","房地(土地+建物)","臺中市南區忠孝路123巷4弄1~30號",56.61,"住","","",1090415,"土地6建物1車位0","一層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",681208,102.01,4,1,1,"有","無",5500000,53916,"",0,0,"","RPPOMLOKNHPFFAB87CA",102.01,0,0,""
"西區","房地(土地+建物)","臺中市西區四維街61~90號",292,"住","","",1090311,"土地2建物1車位0","全","一層","透天厝","住家用","木造",NA,94.74,3,2,1,"有","無",5.3e+07,559426,"",0,0,"木造平房","RPVOMLMLNHPFFAB38CA",94.74,0,0,""
"北屯區","房地(土地+建物)","臺中市北屯區太祥路241~270號",20.4,"住","","",1090421,"土地1建物1車位0","九層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",1000603,110.96,4,0,4,"有","有",5400000,48666,"",0,0,"","RPUPMLOKNHPFFBB58CA",62.82,10.07,0,""
"北屯區","房地(土地+建物)","臺中市北屯區長生巷1之1弄31~60號",114,"住","","",1090317,"土地2建物1車位0","全","二層","透天厝","住家用","鋼筋混凝土造",770120,136.46,5,3,4,"有","無",1e+07,73282,"",0,0,"親友、員工或其他特殊關係間之交易。;","RPQNMLOKNHPFFBB97CA",130.7,5.76,0,""
"北屯區","房地(土地+建物)","臺中市北屯區松義街197巷1~30號",80,"住","","",1090416,"土地1建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造",780803,226.87,5,2,3,"有","無",13400000,59065,"",0,0,"","RPPRMLOKNHPFFBB28CA",187.02,39.85,0,""
"北區","房地(土地+建物)","臺中市北區南京東路二段91~120號",15.12,"住","","",1090330,"土地7建物1車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",710226,74.2,3,2,2,"有","無",3260000,43935,"",0,0,"","RPXQMLOJOHPFFBB98CA",74.2,0,0,""
"西屯區","房地(土地+建物)","臺中市西屯區黎明路三段301~330號",15.87,"商","","",1090426,"土地1建物1車位0","十一層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",840220,118.87,3,2,2,"有","有",7e+06,58888,"",0,0,"","RPXOMLNKNHPFFCB78CA",80.86,10.66,0,""
"西屯區","房地(土地+建物)","臺中市西屯區西屯路二段268之8巷1~30號",2.11,"住","","",1090418,"土地1建物1車位0","四層","十三層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",860408,22.4,1,0,1,"有","有",1280000,57143,"",0,0,"","RPQOMLPKNHPFFCB28CA",12.56,1.59,0,""
"神岡區","房地(土地+建物)","臺中市神岡區三民路481~510號",98.22,"農","","",1090330,"土地2建物1車位0","全","二層","透天厝","住家用","加強磚造",630520,132.38,4,3,2,"有","無",9360000,70706,"",0,0,"","RPPNMLPKNHPFFDB18CA",132.38,0,0,""
"豐原區","房地(土地+建物)","臺中市豐原區自強街31~60號",77,"住","","",1090317,"土地1建物1車位0","一層，二層，騎樓","二層","店面(店鋪)","住家用","鋼筋混凝土造",650901,109.96,9,2,5,"有","無",1.5e+07,136413,"",0,0,"","RPRPMLLJOHPFFDB18CA",109.96,0,0,""
"大甲區","房地(土地+建物)","臺中市大甲區青二路5巷1~30號",137,"","工業區","丁種建築用地",1090411,"土地2建物2車位0","全","二層","透天厝","住家用","鋼筋混凝土加強磚造",680508,179.48,4,2,3,"有","無",8800000,49031,"",0,0,"","RPQNMLRLNHPFFEB68CA",179.48,0,0,""
"大雅區","房地(土地+建物)","臺中市大雅區神林南路173巷1弄31~60號",27.5,"住","","",1090404,"土地3建物1車位0","一層，騎樓","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",700420,61.28,2,1,1,"有","無",3060000,49935,"",0,0,"承租人承買","RPVNMLTKNHPFFHB96CA",61.28,0,0,""
"霧峰區","房地(土地+建物)","臺中市霧峰區中正路691~720號",226.28,"住","","",1090505,"土地2建物1車位0","全","一層","透天厝","住家用","加強磚造",571028,118.67,3,2,1,"有","無",12500000,105334,"",0,0,"含增建或未登記建物。;","RPVNMLOKNHPFFIB56CA",118.67,0,0,""
"大里區","房地(土地+建物)","臺中市大里區中興路二段祥興二巷61~90號",58.59,"住","","",1090415,"土地1建物1車位0","全","二層","透天厝","住家用","見其他登記事項",550201,71.32,6,0,6,"有","無",8e+06,112170,"",0,0,"","RPQNMLSKNHPFFIB09CA",71.32,0,0,""
"太平區","房地(土地+建物)","臺中市太平區德明路137巷19弄1~30號",188.06,"","鄉村區","乙種建築用地",1090410,"土地2建物2車位0","全","二層","透天厝","住家用","鋼筋混凝土造",681230,183.28,4,4,4,"有","無",8800000,48014,"",0,0,"","RPTNMLTKNHPFFJB96CA",183.28,0,0,""
"太平區","房地(土地+建物)","臺中市太平區中平路順昌巷51弄1~30號",42,"住","","",1090310,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",691020,47.88,2,2,2,"有","無",1344250,28075,"",0,0,"親友、員工或其他特殊關係間之交易。;受債權債務影響或債務抵償之交易。;","RPUOMLMLNHPFFJB56CA",47.88,0,0,""
"西區","房地(土地+建物)","臺中市西區美村路一段52巷1~30號",17.2,"住","","",1090417,"土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",690306,71.96,2,1,1,"有","無",1800000,25014,"",0,0,"親友、員工或其他特殊關係間之交易。;","RPVNMLOJOHPFFAB58EA",71.96,0,0,""
